Report for mn0010,,,,,,,
Court,Transaction Date,Time,Pages,Client Code,Description,Search,Cost
00PCL,04/03/2014,06:51:20,1,OFFICE,BANKRUPTCY CASE SEARCH,12-CV-7127 ALL COURTS  PAGE: 1,$0.10
00PCL,04/03/2014,06:51:36,1,OFFICE,CIVIL CASE SEARCH,12-CV-7127 ALL COURTS  PAGE: 1,$0.10
00PCL,04/03/2014,07:01:41,1,,ALL COURT TYPES PARTY SEA,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/03/2014,13:17:30,1,,CIVIL CASE SEARCH,CASE TITLE FIRST NATIONAL BANK OF OMAHA,$0.10
00PCL,04/03/2014,13:18:20,1,,CIVIL CASE SEARCH,CASE TITLE FIRST NATIONAL BANK OF OMAHA,$0.10
00PCL,04/03/2014,13:19:06,1,,CIVIL PARTY SEARCH,NAME LAND O'LAKES NEBRASKA  PAGE: 1,$0.10
00PCL,04/03/2014,13:19:34,1,,CIVIL PARTY SEARCH,NAME FIRST NATIONAL BANK OF OMAHA NEBRAS,$0.10
00PCL,04/03/2014,13:19:46,1,,CIVIL PARTY SEARCH,NAME FIRST NATIONAL BANK OF OMAHA NEBRAS,$0.10
00PCL,04/03/2014,13:19:53,1,,CIVIL PARTY SEARCH,NAME FIRST NATIONAL BANK OF OMAHA NEBRAS,$0.10
00PCL,04/03/2014,13:21:14,1,,CIVIL PARTY SEARCH,NAME FIRST NATIONAL BANK OF OMAHA FILED,$0.10
00PCL,04/03/2014,13:21:51,1,,CIVIL PARTY SEARCH,NAME FIRST NATIONAL BANK OF OMAHA FILED,$0.10
00PCL,04/03/2014,14:15:51,1,,BANKRUPTCY PARTY SEARCH,NAME OPTIM ALL COURTS  PAGE: 1,$0.10
00PCL,04/03/2014,14:16:52,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/03/2014,15:03:02,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL ALL COURTS  PAGE: 1,$0.10
00PCL,04/03/2014,15:03:08,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL ALL COURTS  PAGE: 11,$0.10
00PCL,04/03/2014,15:03:11,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL ALL COURTS  PAGE: 26,$0.10
00PCL,04/03/2014,15:03:16,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL ALL COURTS  PAGE: 22,$0.10
00PCL,04/03/2014,15:03:24,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL ALL COURTS  PAGE: 18,$0.10
00PCL,04/03/2014,15:03:27,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL ALL COURTS  PAGE: 16,$0.10
00PCL,04/03/2014,15:03:32,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL ALL COURTS  PAGE: 14,$0.10
00PCL,04/03/2014,15:04:08,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL PORK PRODUCTION ALL COURTS,$0.10
00PCL,04/04/2014,10:57:15,1,PAPE  26689/0000,ALL COURT TYPES CASE SEAR,8:13-CV-00038 ALL COURTS  PAGE: 1,$0.10
00PCL,04/04/2014,13:46:33,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/04/2014,15:19:24,1,,CIVIL PARTY SEARCH,NAME CONAGRA MAINE  PAGE: 1,$0.10
00PCL,04/07/2014,09:32:18,1,,CIVIL PARTY SEARCH,NAME GEORGIA PACIFIC NOS 840 ALL COURTS,$0.10
00PCL,04/07/2014,12:08:30,1,12096-1,ALL COURT TYPES PARTY SEA,NAME DREHL NORTH CAROLINA  PAGE: 1,$0.10
00PCL,04/07/2014,12:09:00,1,12096-1,ALL COURT TYPES CASE SEAR,2005-478 NORTH CAROLINA  PAGE: 1,$0.10
00PCL,04/07/2014,12:11:49,1,12096-1,ALL COURT TYPES PARTY SEA,NAME VON DREHLE CORP ALL COURTS  PAGE: 1,$0.10
00PCL,04/07/2014,16:02:04,1,GWT/FROST,ALL COURT TYPES PARTY SEA,NAME PLAZA BUICK NEBRASKA  PAGE: 1,$0.10
00PCL,04/07/2014,16:02:12,1,GWT/FROST,ALL COURT TYPES PARTY SEA,NAME DSM NEBRASKA  PAGE: 1,$0.10
00PCL,04/07/2014,16:05:59,1,GWT/FROST,ALL COURT TYPES PARTY SEA,NAME PLAZA BUICK ALL COURTS  PAGE: 1,$0.10
00PCL,04/07/2014,16:06:18,1,GWT/FROST,ALL COURT TYPES PARTY SEA,NAME DSM DESOTECH ALL COURTS  PAGE: 1,$0.10
00PCL,04/07/2014,16:07:02,1,GWT/FROST,ALL COURT TYPES PARTY SEA,NAME GASHKOFF ALL COURTS  PAGE: 1,$0.10
00PCL,04/07/2014,16:07:49,1,GWT/FROST,ALL COURT TYPES PARTY SEA,NAME DSM FUNCTIONAL ALL COURTS  PAGE: 1,$0.10
00PCL,04/07/2014,16:11:51,1,GWT/FROST,ALL COURT TYPES PARTY SEA,NAME DSM FUNCTIONAL ALL COURTS  PAGE: 1,$0.10
00PCL,04/07/2014,16:12:09,1,GWT/FROST,ALL COURT TYPES PARTY SEA,NAME DSM DESOTECH ALL COURTS  PAGE: 1,$0.10
00PCL,04/07/2014,16:14:27,1,GWT/FROST,ALL COURT TYPES PARTY SEA,NAME DSM ALL COURTS  PAGE: 1,$0.10
00PCL,04/07/2014,16:14:37,1,GWT/FROST,ALL COURT TYPES PARTY SEA,NAME DSM NEBRASKA  PAGE: 1,$0.10
00PCL,04/07/2014,16:18:33,1,GWT/FROST,ALL COURT TYPES PARTY SEA,NAME DSM NEBRASKA  PAGE: 1,$0.10
00PCL,04/08/2014,08:46:29,1,8219-CALWESTERN,CIVIL PARTY SEARCH,"NAME PHELPS, JAMES ALL COURTS  PAGE: 1",$0.10
00PCL,04/08/2014,08:46:41,1,8219-CALWESTERN,CIVIL PARTY SEARCH,"NAME PHELPS, JAMES ALL COURTS  PAGE: 1",$0.10
00PCL,04/08/2014,08:48:04,1,8219-CALWESTERN,ALL COURT TYPES PARTY SEA,"NAME PHELPS, JAMES R ALL COURTS  PAGE: 1",$0.10
00PCL,04/08/2014,08:49:14,1,8219-CALWESTERN,ALL COURT TYPES PARTY SEA,"NAME HUDSON, WILLIAM FLORIDA  PAGE: 1",$0.10
00PCL,04/08/2014,08:51:02,1,8219-CALWESTERN,CIVIL PARTY SEARCH,"NAME HUDSON, LEAH FLORIDA  PAGE: 1",$0.10
00PCL,04/08/2014,08:51:47,1,8219-CALWESTERN,CIVIL PARTY SEARCH,"NAME THOMPSON, JOHN CALIFORNIA  PAGE: 1",$0.10
00PCL,04/08/2014,08:52:51,1,8219-CALWESTERN,CIVIL PARTY SEARCH,NAME ARCHER DANIELS MIDLAND CALIFORNIA,$0.10
00PCL,04/08/2014,08:54:07,1,8219-CALWESTERN,CIVIL PARTY SEARCH,NAME ARCHER DANIELS MIDLAND ARKANSAS  PA,$0.10
00PCL,04/08/2014,08:54:50,1,8219-CALWESTERN,CIVIL PARTY SEARCH,NAME ARCHER DANIELS MIDLAND FLORIDA  PAG,$0.10
00PCL,04/08/2014,10:02:53,1,8219-CAL WESTERN,CIVIL PARTY SEARCH,NAME CAL WESTERN PACKAGING ALL COURTS  P,$0.10
00PCL,04/08/2014,11:13:12,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 1,$0.10
00PCL,04/08/2014,11:13:47,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 2,$0.10
00PCL,04/08/2014,11:14:04,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 3,$0.10
00PCL,04/08/2014,11:16:12,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 4,$0.10
00PCL,04/08/2014,11:18:43,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 5,$0.10
00PCL,04/08/2014,11:19:14,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 6,$0.10
00PCL,04/08/2014,11:19:20,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 7,$0.10
00PCL,04/08/2014,11:26:51,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 8,$0.10
00PCL,04/08/2014,11:26:56,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 9,$0.10
00PCL,04/08/2014,11:27:02,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 10,$0.10
00PCL,04/08/2014,11:30:29,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 11,$0.10
00PCL,04/08/2014,11:34:00,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 12,$0.10
00PCL,04/08/2014,11:36:22,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 13,$0.10
00PCL,04/08/2014,11:39:25,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 14,$0.10
00PCL,04/08/2014,11:40:11,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 15,$0.10
00PCL,04/08/2014,11:40:15,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 16,$0.10
00PCL,04/08/2014,11:40:20,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 17,$0.10
00PCL,04/08/2014,11:40:24,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 18,$0.10
00PCL,04/08/2014,11:40:28,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 19,$0.10
00PCL,04/08/2014,11:40:31,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 20,$0.10
00PCL,04/08/2014,11:40:34,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 21,$0.10
00PCL,04/08/2014,11:41:29,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 22,$0.10
00PCL,04/08/2014,11:43:01,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 23,$0.10
00PCL,04/08/2014,11:43:05,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 24,$0.10
00PCL,04/08/2014,11:54:28,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 25,$0.10
00PCL,04/08/2014,11:54:39,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 26,$0.10
00PCL,04/08/2014,11:58:59,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 27,$0.10
00PCL,04/08/2014,11:59:51,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 28,$0.10
00PCL,04/08/2014,11:59:55,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 29,$0.10
00PCL,04/08/2014,11:59:58,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 30,$0.10
00PCL,04/08/2014,12:00:24,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 31,$0.10
00PCL,04/08/2014,12:00:32,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 32,$0.10
00PCL,04/08/2014,12:00:36,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 33,$0.10
00PCL,04/08/2014,12:00:40,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 34,$0.10
00PCL,04/08/2014,12:00:49,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 35,$0.10
00PCL,04/08/2014,12:01:35,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 36,$0.10
00PCL,04/08/2014,12:01:40,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 37,$0.10
00PCL,04/08/2014,12:01:43,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 38,$0.10
00PCL,04/08/2014,12:36:50,1,,CIVIL PARTY SEARCH,NAME CONAGRA ALL COURTS  PAGE: 39,$0.10
00PCL,04/08/2014,12:57:21,1,GWT/JSP/OFFICE,ALL COURT TYPES CASE SEAR,CASE TITLE DWYER V. CAPPELL NEW JERSEY,$0.10
00PCL,04/08/2014,12:57:47,1,GWT/JSP/OFFICE,ALL COURT TYPES PARTY SEA,"NAME DWYER, ANDREW NEW JERSEY  PAGE: 1",$0.10
00PCL,04/08/2014,13:03:45,1,OFFICE,CIVIL PARTY SEARCH,NAME CASEY INDUSTRIAL NEBRASKA  PAGE: 1,$0.10
00PCL,04/08/2014,14:48:17,1,GWT/JJF/OFFICE,ALL COURT TYPES PARTY SEA,NAME HARRIS DAVIS REBAR OHIO  PAGE: 1,$0.10
00PCL,04/08/2014,14:57:47,1,OFFICE,CIVIL CASE SEARCH,45-CV-7125 ALL COURTS  PAGE: 1,$0.10
00PCL,04/08/2014,14:57:55,1,OFFICE,CIVIL CASE SEARCH,12-CV-7125 ALL COURTS  PAGE: 1,$0.10
00PCL,04/08/2014,15:48:26,1,GWT/JJF,ALL COURT TYPES CASE SEAR,14-533 OHIO  PAGE: 1,$0.10
00PCL,04/09/2014,07:31:12,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/09/2014,07:31:45,1,,ALL COURT TYPES PARTY SEA,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/09/2014,07:31:59,1,,ALL COURT TYPES PARTY SEA,NAME COLDWATER CREEK ALL COURTS  PAGE: 2,$0.10
00PCL,04/09/2014,08:27:50,1,OFFICE,CIVIL CASE SEARCH,7:13-CV-426 ALL COURTS  PAGE: 1,$0.10
00PCL,04/09/2014,08:27:59,1,OFFICE,CIVIL CASE SEARCH,4:13-CV-426 ALL COURTS  PAGE: 1,$0.10
00PCL,04/09/2014,08:51:18,1,GWT/JJF,ALL COURT TYPES CASE SEAR,14-137 OHIO  PAGE: 1,$0.10
00PCL,04/09/2014,08:55:48,1,GWT/JJF,ALL COURT TYPES CASE SEAR,14-533 OHIO  PAGE: 1,$0.10
00PCL,04/09/2014,12:08:02,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/09/2014,15:10:06,1,MOLAND-POSSIBLE NEW CLIENT,ALL COURT TYPES PARTY SEA,NAME MIDAMERICAN ENERGY FILED 01/01/2011,$0.10
00PCL,04/09/2014,15:10:27,1,MOLAND-POSSIBLE NEW CLIENT,ALL COURT TYPES PARTY SEA,NAME MIDAMERICAN ENERGY FILED 01/01/2011,$0.10
00PCL,04/09/2014,16:39:30,1,,CIVIL PARTY SEARCH,NAME CONAGRA CALIFORNIA  PAGE: 1,$0.10
00PCL,04/09/2014,16:44:54,1,,CIVIL PARTY SEARCH,NAME RALPHS CALIFORNIA  PAGE: 1,$0.10
00PCL,04/09/2014,16:45:06,1,,CIVIL PARTY SEARCH,NAME RALPHS GROCERY COMPANY CALIFORNIA,$0.10
00PCL,04/09/2014,16:45:18,1,,CIVIL PARTY SEARCH,NAME RALPHS GROCERY COMPANY CALIFORNIA,$0.10
00PCL,04/09/2014,16:45:52,1,,CIVIL PARTY SEARCH,NAME RALPHS GROCERY COMPANY ALL COURTS,$0.10
00PCL,04/09/2014,16:45:57,1,,CIVIL PARTY SEARCH,NAME RALPHS GROCERY COMPANY ALL COURTS,$0.10
00PCL,04/10/2014,06:58:37,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/10/2014,08:50:01,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/10/2014,13:22:09,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/10/2014,14:10:35,1,,BANKRUPTCY PARTY SEARCH,NAME CERALN CORP. ALL COURTS  PAGE: 1,$0.10
00PCL,04/10/2014,14:10:43,1,,BANKRUPTCY PARTY SEARCH,NAME WOODTRONICS ALL COURTS  PAGE: 1,$0.10
00PCL,04/10/2014,14:11:22,1,,BANKRUPTCY PARTY SEARCH,NAME CERALN ALL COURTS  PAGE: 1,$0.10
00PCL,04/10/2014,14:12:42,1,,BANKRUPTCY PARTY SEARCH,NAME CERALN CORPORATION ALL COURTS  PAGE,$0.10
00PCL,04/10/2014,14:13:03,1,,BANKRUPTCY PARTY SEARCH,"NAME WOODTRONICS, INC. ALL COURTS  PAGE:",$0.10
00PCL,04/10/2014,14:14:06,1,,BANKRUPTCY PARTY SEARCH,NAME WOODTRONICS ALL COURTS  PAGE: 1,$0.10
00PCL,04/10/2014,14:50:16,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL PORK ALL COURTS  PAGE: 1,$0.10
00PCL,04/11/2014,06:45:29,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/11/2014,07:32:49,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/11/2014,07:33:26,1,,ALL COURT TYPES PARTY SEA,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/11/2014,07:39:14,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK INC. ALL COURTS  PA,$0.10
00PCL,04/11/2014,07:40:35,1,,BANKRUPTCY CASE SEARCH,14-10867 DELAWARE  PAGE: 1,$0.10
00PCL,04/11/2014,08:16:29,1,,BANKRUPTCY CASE SEARCH,14-10867 ALL COURTS  PAGE: 1,$0.10
00PCL,04/11/2014,08:17:08,1,,BANKRUPTCY CASE SEARCH,14-10867 DELAWARE  PAGE: 1,$0.10
00PCL,04/11/2014,08:17:21,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK DELAWARE  PAGE: 1,$0.10
00PCL,04/11/2014,08:22:55,1,,BANKRUPTCY CASE SEARCH,14-10867 ALL COURTS  PAGE: 1,$0.10
00PCL,04/11/2014,08:23:08,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/11/2014,13:03:18,1,,BANKRUPTCY CASE SEARCH,14-10867 ALL COURTS  PAGE: 1,$0.10
00PCL,04/11/2014,13:03:45,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/14/2014,06:54:38,1,,BANKRUPTCY CASE SEARCH,14-10867 ALL COURTS  PAGE: 1,$0.10
00PCL,04/14/2014,07:56:34,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL PORK ALL COURTS  PAGE: 1,$0.10
00PCL,04/14/2014,10:08:57,1,,BANKRUPTCY PARTY SEARCH,"NAME PCA INTERNATIONAL, INC. ALL COURTS",$0.10
00PCL,04/14/2014,10:11:33,1,,ALL COURT TYPES PARTY SEA,NAME PCA INTERNATIONAL ALL COURTS  PAGE:,$0.10
00PCL,04/14/2014,12:26:20,1,,ALL COURT TYPES CASE SEAR,13-2073 ALL COURTS  PAGE: 1,$0.10
00PCL,04/14/2014,13:31:14,1,TESTING,BANKRUPTCY CASE SEARCH,13-03996 ALABAMA  PAGE: 1,$0.10
00PCL,04/14/2014,14:57:00,1,,CIVIL CASE SEARCH,13-2073 ALL COURTS  PAGE: 1,$0.10
00PCL,04/14/2014,15:15:25,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/15/2014,08:00:43,1,,CIVIL CASE SEARCH,13-2073 ALL COURTS  PAGE: 1,$0.10
00PCL,04/15/2014,15:23:17,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL PORK ALL COURTS  PAGE: 1,$0.10
00PCL,04/16/2014,09:27:55,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/16/2014,11:53:35,1,,BANKRUPTCY PARTY SEARCH,NAME NATURAL PORK ALL COURTS  PAGE: 1,$0.10
00PCL,04/16/2014,15:07:22,1,,CIVIL CASE SEARCH,14-CV-29 ALL COURTS  PAGE: 1,$0.10
00PCL,04/16/2014,15:07:44,1,,CIVIL CASE SEARCH,8:14-CV-29 ALL COURTS  PAGE: 1,$0.10
00PCL,04/17/2014,06:36:11,1,,APPELLATE CASE SEARCH,14-5441 ALL COURTS  PAGE: 1,$0.10
00PCL,04/17/2014,09:50:30,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/17/2014,10:19:24,1,,ALL COURT TYPES PARTY SEA,NAME ENCINITAS UNION SCHOOL DISTRICT ALL,$0.10
00PCL,04/17/2014,10:20:18,1,,ALL COURT TYPES PARTY SEA,NAME NATIONAL CENTER FOR LAW AND POLICY,$0.10
00PCL,04/17/2014,10:20:28,1,,ALL COURT TYPES PARTY SEA,NAME SEDLOCK ALL COURTS  PAGE: 1,$0.10
00PCL,04/17/2014,10:20:40,1,,ALL COURT TYPES PARTY SEA,NAME SEDLOCK ALL COURTS  PAGE: 5,$0.10
00PCL,04/17/2014,10:20:44,1,,ALL COURT TYPES PARTY SEA,NAME SEDLOCK ALL COURTS  PAGE: 6,$0.10
00PCL,04/17/2014,10:20:47,1,,ALL COURT TYPES PARTY SEA,NAME SEDLOCK ALL COURTS  PAGE: 7,$0.10
00PCL,04/17/2014,10:20:52,1,,ALL COURT TYPES PARTY SEA,NAME SEDLOCK ALL COURTS  PAGE: 8,$0.10
00PCL,04/17/2014,12:20:22,1,,CRIMINAL PARTY SEARCH,NAME DROGANES KENTUCKY  PAGE: 1,$0.10
00PCL,04/17/2014,13:13:55,1,26677-0,BANKRUPTCY PARTY SEARCH,NAME JACOBS ENGINEERING FOURTH CIRCUIT,$0.10
00PCL,04/17/2014,13:14:18,1,26677-0,ALL COURT TYPES PARTY SEA,NAME JACOBS ENGINEERING FOURTH CIRCUIT,$0.10
00PCL,04/17/2014,13:15:23,1,26677-0,ALL COURT TYPES PARTY SEA,NAME JACOBS ENGINEERING ALL COURTS  PAGE,$0.10
00PCL,04/17/2014,13:15:36,1,26677-0,ALL COURT TYPES PARTY SEA,NAME JACOBS ENGINEERING ALL COURTS  PAGE,$0.10
00PCL,04/17/2014,13:15:50,1,26677-0,ALL COURT TYPES PARTY SEA,NAME JACOBS ENGINEERING ALL COURTS  PAGE,$0.10
00PCL,04/17/2014,14:29:06,1,,BANKRUPTCY PARTY SEARCH,NAME COLDWATER CREEK ALL COURTS  PAGE: 1,$0.10
00PCL,04/17/2014,14:50:43,1,843-0022,ALL COURT TYPES PARTY SEA,NAME HARVEST IRRIGATION ALL COURTS  PAGE,$0.10
00PCL,04/17/2014,14:50:56,1,843-0022,ALL COURT TYPES PARTY SEA,"NAME HOLGATE, RUSS ALL COURTS  PAGE: 1",$0.10
