Unique Signature,Number of downloads,Price,Total,Savings
00PCLNAME ACACIA FILED 06/01/2014 TO 07/08/20ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 06/01/2014 TO 07/08/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 06/01/2014 TO 07/08/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CAMBRIDGE FILED 06/01/2014 TO 07/08ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CVS FILED 06/01/2014 TO 07/08/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME INTEL FILED 06/01/2014 TO 07/08/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 06/01/2014 TO 07/08/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 06/01/2014 TO 07/08/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GEORGETOWN FILED 06/01/2014 TO 07/0ALL COURT TYPES PARTY SEA,2,$0.10,$0.20,$0.10
00PCLNAME GEORGE WASHINGTON UNIVERSITY FILEDALL COURT TYPES PARTY SEA,3,$0.10,$0.30,$0.20
00PCLNAME AMERICAN UNIVERSITY FILED 06/01/201ALL COURT TYPES PARTY SEA,3,$0.10,$0.30,$0.20
00PCLNAME CARNEGIE FILED 06/01/2014 TO 07/08/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME UNITED TECHNOLOGIES FILED 06/01/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME BARTLETT TREE FILED 06/01/2014 TO 0ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
"00PCLNAME DEMPSEY,  EDWARD ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEA",2,$0.10,$0.20,$0.10
"00PCLNAME TAYLOR,  AUTUMN ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEA",1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/01/2014 TO 07/09/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 06/01/2014 TO 07/09/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 06/01/2014 TO 07/09/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 06/01/2014 TO 07/09/20ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 06/01/2014 TO 07/09/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 06/01/2014 TO 07/09/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 06/01/2014 TO 07/09/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GEORGE WASHINGTON FILED 06/01/2014ALL COURT TYPES PARTY SEA,2,$0.10,$0.20,$0.10
00PCLNAME KRAMERBOOKS ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,3,$0.10,$0.30,$0.20
00PCLNAME WASDEN FLORIDA SOUTHERN  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME WASDEN FLORIDA  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCL13-891 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,4,$0.10,$0.40,$0.30
00PCL14-20438 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,4,$0.10,$0.40,$0.30
00PCL14-61166 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,2,$0.10,$0.20,$0.10
00PCLNAME NORDSTROM NOS 446 CALIFORNIA  PAGE:CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCL13-409 NORTH CAROLINA  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCL11-359 NORTH CAROLINA  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME MCCARTY TEXAS WESTERN  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCL12-3313 PENNSYLVANIA EASTERN  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCL11-15059 NEW YORK  PAGE: 1BANKRUPTCY CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME PRICEWATERHOUSECOOPER NEW YORK SOUTBANKRUPTCY PARTY SEARCH,2,$0.10,$0.20,$0.10
00PCL11-15059 NEW YORK SOUTHERN  PAGE: 1BANKRUPTCY CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME PRICEWATERHOUSE NEW YORK SOUTHERNBANKRUPTCY PARTY SEARCH,2,$0.10,$0.20,$0.10
00PCL14-12097 NEW YORK SOUTHERN  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCL14-2197 NEW YORK SOUTHERN  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME TWIN CITY INSURANCE ALL COURTS  PAGCIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME TWIN CITY FIRE INSURANCE ALL COURTSCIVIL PARTY SEARCH,7,$0.10,$0.70,$0.60
00PCLNAME CACI FILED 06/01/2014 TO 07/14/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/01/2014 TO 07/14/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 06/01/2014 TO 07/14/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 06/01/2014 TO 07/14/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 06/01/2014 TO 07/14/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME USA TODAY FILED 06/01/2014 TO 07/14ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 06/01/2014 TO 07/14/20ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 06/01/2014 TO 07/14/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CAMBRIDGE FILED 06/01/2014 TO 07/14ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 06/01/2014 TO 07/14/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CARNEGIE FILED 06/01/2014 TO 07/14/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GEORGETOWN FILED 06/01/2014 TO 07/1ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GEORGE WASHINGTON UNIVERSITY ALL COALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
"00PCLNAME WARIS,  ALI ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEA",2,$0.10,$0.20,$0.10
"00PCLNAME GREEN,  ROSIE FOURTH CIRCUIT  PAGE:BANKRUPTCY PARTY SEARCH",1,$0.10,$0.10,$0
00PCL14-367 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,2,$0.10,$0.20,$0.10
00PCL14-367 ALL COURTS  PAGE: 2CIVIL CASE SEARCH,2,$0.10,$0.20,$0.10
00PCLNAME GIANT FILED 06/01/2014 TO 07/15/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 06/01/2014 TO 07/15/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 06/01/2014 TO 07/15/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 01/01/2014 TO 07/15/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 07/01/2014 TO 07/15/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 07/01/2014 TO 07/15/20ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 07/01/2014 TO 07/15/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 07/01/2014 TO 07/15/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CAMBRIDGE FILED 07/01/2014 TO 07/15ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CVS FILED 07/01/2014 TO 07/15/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME INTEL FILED 07/01/2014 TO 07/15/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME COMPUTER SCIENCE FILED 07/01/2014 TALL COURT TYPES PARTY SEA,4,$0.10,$0.40,$0.30
00PCLNAME SIX3 FILED 07/01/2014 TO 07/15/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME EVENTURE FILED 07/01/2014 TO 07/15/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CARNEGIE FILED 07/01/2014 TO 07/15/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 07/01/2014 TO 07/15/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GEORGETOWN FILED 07/01/2014 TO 07/1ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GWU FILED 07/01/2014 TO 07/15/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AMERICAN UNIVERSITY FILED 07/01/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 07/01/2014 TO 07/16/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME SIX3 FILED 07/01/2014 TO 07/16/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME SIX 3 FILED 07/01/2014 TO 07/16/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/01/2014 TO 07/16/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 06/01/2014 TO 07/16/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCL13-147 ALL COURTS  PAGE: 1APPELLATE CASE SEARCH,1,$0.10,$0.10,$0
00PCL13-1473 ALL COURTS  PAGE: 1APPELLATE CASE SEARCH,1,$0.10,$0.10,$0
00PCL14-1273 ALL COURTS  PAGE: 1APPELLATE CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME FONTAINEBLEAU FOURTH CIRCUIT  PAGE:APPELLATE PARTY SEARCH,1,$0.10,$0.10,$0
00PCLFILED 06/01/2014 TO 07/18/2014 ALL COURTALL COURT TYPES CASE SEAR,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/01/2014 TO 07/18/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 02/01/2014 TO 07/18/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 07/01/2014 TO 07/18/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 07/01/2014 TO 07/18/20ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 07/01/2014 TO 07/18/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME MICROSTRATEGY FILED 07/01/2014 TO 0ALL COURT TYPES PARTY SEA,4,$0.10,$0.40,$0.30
00PCLNAME INTEL FILED 07/01/2014 TO 07/18/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 07/01/2014 TO 07/18/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME USA TODAY FILED 07/01/2014 TO 07/18ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CAMBRIDGE FILED 07/01/2014 TO 07/18ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 07/01/2014 TO 07/18/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 02/01/2014 TO 07/22/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 02/01/2014 TO 07/22/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 07/01/2014 TO 07/22/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 07/01/2014 TO 07/22/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME EVENTURE FILED 07/01/2014 TO 07/22/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME SIX2 FILED 07/01/2014 TO 07/22/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME SIX3 FILED 07/01/2014 TO 07/22/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 07/01/2014 TO 07/22/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 07/01/2014 TO 07/22/20ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 07/01/2014 TO 07/22/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 07/01/2014 TO 07/22/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME INTEL FILED 07/01/2014 TO 07/22/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 07/01/2014 TO 07/22/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME USA TODAY FILED 07/01/2014 TO 07/22ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CVS FILED 07/01/2014 TO 07/22/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCL14-2075 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,2,$0.10,$0.20,$0.10
00PCLNAME HOLIDAY CVS NOS 446 ALL COURTS  PAGCIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCL14-291 NEVADA  PAGE: 1CIVIL CASE SEARCH,3,$0.10,$0.30,$0.20
"00PCLNAME TIMES SQUARE LAS VEGAS,  LLC ALL COUCIVIL PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME WESTVIEW MARYLAND  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
"00PCLNAME GILL,  ROBERT DISTRICT OF COLUMBIABANKRUPTCY PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME SPADE,  SUZANNE ALL COURTS  PAGE: 1CIVIL PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME AREVA MOX ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCL14-1261 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 02/01/2014 TO 07/25/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 02/01/2014 TO 07/25/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 07/01/2014 TO 07/25/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
"00PCLNAME WARIS,  ALI ALL COURTS  PAGE: 1CIVIL PARTY SEARCH",2,$0.10,$0.20,$0.10
00PCL12-3313 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME STABILUS ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 02/01/2014 TO 07/31/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 05/01/2014 TO 07/31/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 05/01/2014 TO 07/31/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 07/01/2014 TO 07/31/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 07/01/2014 TO 07/31/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 07/01/2014 TO 07/31/20ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 07/01/2014 TO 07/31/ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 07/01/2014 TO 07/31/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME INTEL FILED 07/01/2014 TO 07/31/201ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 07/01/2014 TO 07/31/2ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CAMBRIDGE FILED 07/01/2014 TO 07/31ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCLNAME CVS FILED 07/01/2014 TO 07/31/2014ALL COURT TYPES PARTY SEA,1,$0.10,$0.10,$0
00PCL98-CV-966 ALL COURTS  PAGE: 1ALL COURT TYPES CASE SEAR,1,$0.10,$0.10,$0
00PCLNAME CVS NOS 446 ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,3,$0.10,$0.30,$0.20
00PCLNAME CVS NOS 446 ALL COURTS  PAGE: 1  SORT: CS_DATE_FILEDCIVIL PARTY SEARCH,3,$0.10,$0.30,$0.20
"00PCLNAME HEINZL,  SARAH ALL COURTS  PAGE: 1CIVIL PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME CARLSON,  R. BRUCE ALL COURTS  PAGE: 1CIVIL PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME CARLSON,  R. BRUCE ALL COURTS  PAGE: 1  SORT: CS_DATE_FILEDCIVIL PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME CVS PHARMACY FLORIDA  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CVS PHARMACY FLORIDA  PAGE: 1  SORT: CS_DATE_FILEDCIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME 14-238 ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCL14-238 VIRGINIA EASTERN  PAGE: 1CIVIL CASE SEARCH,2,$0.10,$0.20,$0.10
"00PCLNAME MARLAND,  GARY ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME GIANT OF MARYLAND VIRGINIA  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 07/01/2014 TO 08/04/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 07/01/2014 TO 08/04/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 07/01/2014 TO 08/04/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 05/01/2014 TO 08/04/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 05/01/2014 TO 08/04/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 05/01/2014 TO 08/04/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 05/01/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 05/01/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 05/01/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 07/20/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 07/20/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 07/20/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME MICROSTRATEGY FILED 07/20/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 07/20/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 07/20/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 07/20/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CARNEGIE FILED 07/20/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME DYNCORP FILED 07/20/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CVS FILED 07/20/2014 TO 08/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
"00PCLNAME GREEN,  ROSIE FOURTH CIRCUIT  PAGE: 1BANKRUPTCY PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME HILSON,1,$0.10,$0.10,$0
"00PCLNAME HILSON,  TAL ALL COURTS  PAGE: 2CIVIL PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 05/01/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 05/01/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
